ping_id,vehicle_id,operator_id,lat,lon,speed_kmph,recorded_at,received_at
P-0000001,V-01,5,19.218489,72.978139,32.1,2026-06-15T06:45:00+05:30,2026-06-15T06:45:01+05:30
P-0000002,V-01,5,19.217808,72.977936,32.5,2026-06-15T06:45:10+05:30,2026-06-15T06:45:12+05:30
P-0000003,V-01,5,19.217864,72.977748,26.6,2026-06-15T06:45:20+05:30,2026-06-15T06:45:24+05:30
P-0000004,V-01,5,19.217539,72.977747,33.6,2026-06-15T06:45:30+05:30,2026-06-15T06:45:36+05:30
P-0000005,V-01,5,19.217,72.977536,27.7,2026-06-15T06:45:40+05:30,2026-06-15T06:45:45+05:30
P-0000006,V-01,5,19.216723,72.977188,33.1,2026-06-15T06:45:50+05:30,2026-06-15T06:45:54+05:30
P-0000007,V-01,5,19.216114,72.976747,30.4,2026-06-15T06:46:00+05:30,2026-06-15T06:46:02+05:30
P-0000008,V-01,5,19.216108,72.976518,33.2,2026-06-15T06:46:10+05:30,2026-06-15T06:46:12+05:30
P-0000009,V-01,5,19.215905,72.976724,30.3,2026-06-15T06:46:20+05:30,2026-06-15T06:46:21+05:30
P-0000010,V-01,5,19.215464,72.976132,27.8,2026-06-15T06:46:30+05:30,2026-06-15T06:46:32+05:30
P-0000011,V-01,5,19.215216,72.976012,29.0,2026-06-15T06:46:40+05:30,2026-06-15T06:46:46+05:30
P-0000012,V-01,5,19.214711,72.975796,31.5,2026-06-15T06:46:50+05:30,2026-06-15T06:46:52+05:30
P-0000013,V-01,5,19.214484,72.975774,28.0,2026-06-15T06:47:00+05:30,2026-06-15T06:47:06+05:30
P-0000014,V-01,5,19.214115,72.975555,26.5,2026-06-15T06:47:10+05:30,2026-06-15T06:47:15+05:30
P-0000015,V-01,5,19.213734,72.975256,24.3,2026-06-15T06:47:20+05:30,2026-06-15T06:47:24+05:30
P-0000016,V-01,5,19.213214,72.974991,33.7,2026-06-15T06:47:30+05:30,2026-06-15T06:47:35+05:30
P-0000017,V-01,5,19.213016,72.975028,32.8,2026-06-15T06:47:40+05:30,2026-06-15T06:47:45+05:30
P-0000018,V-01,5,19.212886,72.974719,30.0,2026-06-15T06:47:50+05:30,2026-06-15T06:47:51+05:30
P-0000019,V-01,5,19.212607,72.974653,32.7,2026-06-15T06:48:00+05:30,2026-06-15T06:48:02+05:30
P-0000020,V-01,5,19.211988,72.974505,32.8,2026-06-15T06:48:10+05:30,2026-06-15T06:48:16+05:30
P-0000021,V-01,5,19.211774,72.974025,24.5,2026-06-15T06:48:20+05:30,2026-06-15T06:48:21+05:30
P-0000022,V-01,5,19.211646,72.974145,35.0,2026-06-15T06:48:30+05:30,2026-06-15T06:48:32+05:30
P-0000023,V-01,5,19.211039,72.97356,31.9,2026-06-15T06:48:40+05:30,2026-06-15T06:48:41+05:30
P-0000024,V-01,5,19.210562,72.973503,26.7,2026-06-15T06:48:50+05:30,2026-06-15T06:48:52+05:30
P-0000025,V-01,5,19.210243,72.973555,27.7,2026-06-15T06:49:00+05:30,2026-06-15T06:49:04+05:30
P-0000026,V-01,5,19.210281,72.97318,30.7,2026-06-15T06:49:10+05:30,2026-06-15T06:49:15+05:30
P-0000027,V-01,5,19.21,72.97282,31.3,2026-06-15T06:49:20+05:30,2026-06-15T06:49:24+05:30
P-0000028,V-01,5,19.209624,72.972975,30.9,2026-06-15T06:49:30+05:30,2026-06-15T06:49:32+05:30
P-0000029,V-01,5,19.209124,72.972733,32.4,2026-06-15T06:49:40+05:30,2026-06-15T06:49:42+05:30
P-0000030,V-01,5,19.20865,72.972366,33.9,2026-06-15T06:49:50+05:30,2026-06-15T06:49:52+05:30
P-0000031,V-01,5,19.208446,72.972367,24.3,2026-06-15T06:50:00+05:30,2026-06-15T06:50:04+05:30
P-0000032,V-01,5,19.208009,72.971848,32.6,2026-06-15T06:50:10+05:30,2026-06-15T06:50:13+05:30
P-0000033,V-01,5,19.207995,72.971722,27.4,2026-06-15T06:50:20+05:30,2026-06-15T06:50:23+05:30
P-0000034,V-01,5,19.207753,72.971776,29.9,2026-06-15T06:50:30+05:30,2026-06-15T06:50:36+05:30
P-0000035,V-01,5,19.207258,72.971335,31.7,2026-06-15T06:50:40+05:30,2026-06-15T06:50:46+05:30
P-0000036,V-01,5,19.206817,72.971483,33.0,2026-06-15T06:50:50+05:30,2026-06-15T06:50:56+05:30
P-0000037,V-01,5,19.206683,72.971041,23.9,2026-06-15T06:51:00+05:30,2026-06-15T06:51:03+05:30
P-0000038,V-01,5,19.206356,72.971055,24.9,2026-06-15T06:51:10+05:30,2026-06-15T06:51:13+05:30
P-0000039,V-01,5,19.205763,72.970568,26.1,2026-06-15T06:51:20+05:30,2026-06-15T06:51:23+05:30
P-0000040,V-01,5,19.205539,72.970412,27.7,2026-06-15T06:51:30+05:30,2026-06-15T06:51:36+05:30
P-0000041,V-01,5,19.205063,72.970441,29.8,2026-06-15T06:51:40+05:30,2026-06-15T06:51:45+05:30
P-0000042,V-01,5,19.204652,72.969906,21.0,2026-06-15T06:51:50+05:30,2026-06-15T06:51:55+05:30
P-0000043,V-01,5,19.204357,72.970036,30.4,2026-06-15T06:52:00+05:30,2026-06-15T06:52:04+05:30
P-0000044,V-01,5,19.20427,72.969632,29.6,2026-06-15T06:52:10+05:30,2026-06-15T06:52:11+05:30
P-0000045,V-01,5,19.203743,72.969569,26.0,2026-06-15T06:52:20+05:30,2026-06-15T06:52:21+05:30
P-0000046,V-01,5,19.203408,72.969329,20.4,2026-06-15T06:52:30+05:30,2026-06-15T06:52:33+05:30
P-0000047,V-01,5,19.203174,72.969234,25.2,2026-06-15T06:52:40+05:30,2026-06-15T06:52:42+05:30
P-0000048,V-01,5,19.203018,72.969003,31.5,2026-06-15T06:52:50+05:30,2026-06-15T06:52:56+05:30
P-0000049,V-01,5,19.202909,72.968704,29.3,2026-06-15T06:53:00+05:30,2026-06-15T06:53:04+05:30
P-0000050,V-01,5,19.202243,72.968292,29.4,2026-06-15T06:53:10+05:30,2026-06-15T06:53:15+05:30
P-0000051,V-01,5,19.202118,72.968118,26.5,2026-06-15T06:53:20+05:30,2026-06-15T06:53:21+05:30
P-0000052,V-01,5,19.201707,72.968076,20.1,2026-06-15T06:53:30+05:30,2026-06-15T06:53:32+05:30
P-0000053,V-01,5,19.20155,72.967866,22.8,2026-06-15T06:53:40+05:30,2026-06-15T06:53:41+05:30
P-0000054,V-01,5,19.201401,72.967682,19.3,2026-06-15T06:53:50+05:30,2026-06-15T06:53:54+05:30
P-0000055,V-01,5,19.201076,72.967008,25.7,2026-06-15T06:54:00+05:30,2026-06-15T06:54:02+05:30
P-0000056,V-01,5,19.200551,72.966833,23.3,2026-06-15T06:54:10+05:30,2026-06-15T06:54:13+05:30
P-0000057,V-01,5,19.200255,72.966757,28.9,2026-06-15T06:54:20+05:30,2026-06-15T06:54:23+05:30
P-0000058,V-01,5,19.200068,72.966263,29.9,2026-06-15T06:54:30+05:30,2026-06-15T06:54:33+05:30
P-0000059,V-01,5,19.199754,72.966437,28.5,2026-06-15T06:54:40+05:30,2026-06-15T06:54:41+05:30
P-0000060,V-01,5,19.199377,72.966199,21.5,2026-06-15T06:54:50+05:30,2026-06-15T06:54:52+05:30
P-0000061,V-01,5,19.199058,72.965693,23.3,2026-06-15T06:55:00+05:30,2026-06-15T06:55:01+05:30
P-0000062,V-01,5,19.198934,72.965645,20.0,2026-06-15T06:55:10+05:30,2026-06-15T06:55:16+05:30
P-0000063,V-01,5,19.198526,72.965568,29.9,2026-06-15T06:55:20+05:30,2026-06-15T06:55:21+05:30
P-0000064,V-01,5,19.19812,72.965289,19.8,2026-06-15T06:55:30+05:30,2026-06-15T06:55:33+05:30
P-0000065,V-01,5,19.197865,72.964672,28.4,2026-06-15T06:55:40+05:30,2026-06-15T06:55:43+05:30
P-0000066,V-01,5,19.197563,72.964458,24.4,2026-06-15T06:55:50+05:30,2026-06-15T06:55:52+05:30
P-0000067,V-01,5,19.197106,72.96462,28.3,2026-06-15T06:56:00+05:30,2026-06-15T06:56:06+05:30
P-0000068,V-01,5,19.197028,72.964027,27.4,2026-06-15T06:56:10+05:30,2026-06-15T06:56:13+05:30
P-0000069,V-01,5,19.196638,72.9639,27.6,2026-06-15T06:56:20+05:30,2026-06-15T06:56:24+05:30
P-0000070,V-01,5,19.196508,72.963889,23.9,2026-06-15T06:56:30+05:30,2026-06-15T06:56:33+05:30
P-0000071,V-01,5,19.196173,72.963664,23.6,2026-06-15T06:56:40+05:30,2026-06-15T06:56:41+05:30
P-0000072,V-01,5,19.195695,72.963391,24.1,2026-06-15T06:56:50+05:30,2026-06-15T06:56:54+05:30
P-0000073,V-01,5,19.195256,72.963043,19.8,2026-06-15T06:57:00+05:30,2026-06-15T06:57:01+05:30
