trip_id,route_id,vehicle_id,service_date,scheduled_start,scheduled_end,direction
TRIP_001,9,V-01,2026-06-15,2026-06-15T06:45:00+05:30,2026-06-15T07:40:00+05:30,inbound
TRIP_002,11,V-07,2026-06-15,2026-06-15T06:50:00+05:30,2026-06-15T08:00:00+05:30,inbound
TRIP_003,12,V-03,2026-06-15,2026-06-15T07:05:00+05:30,2026-06-15T08:05:00+05:30,inbound
TRIP_004,14,V-05,2026-06-15,2026-06-15T06:35:00+05:30,2026-06-15T07:50:00+05:30,inbound
TRIP_005,17,V-10,2026-06-15,2026-06-15T07:20:00+05:30,2026-06-15T08:25:00+05:30,inbound
TRIP_006,9,V-02,2026-06-15,2026-06-15T07:40:00+05:30,2026-06-15T08:35:00+05:30,inbound
TRIP_007,21,V-08,2026-06-15,2026-06-15T07:00:00+05:30,2026-06-15T07:40:00+05:30,inbound
TRIP_008,11,V-09,2026-06-15,2026-06-15T08:10:00+05:30,2026-06-15T09:20:00+05:30,inbound
TRIP_009,17,V-11,2026-06-15,2026-06-15T08:30:00+05:30,2026-06-15T09:35:00+05:30,inbound
TRIP_010,21,V-12,2026-06-15,2026-06-15T08:45:00+05:30,2026-06-15T09:25:00+05:30,inbound
TRIP_011,11,V-06,2026-06-15,2026-06-15T08:00:00+05:30,2026-06-15T09:10:00+05:30,inbound
TRIP_012,9,V-01,2026-06-16,2026-06-16T06:45:00+05:30,2026-06-16T07:40:00+05:30,inbound
TRIP_013,11,V-07,2026-06-16,2026-06-16T06:50:00+05:30,2026-06-16T08:00:00+05:30,inbound
TRIP_014,12,V-03,2026-06-16,2026-06-16T07:05:00+05:30,2026-06-16T08:05:00+05:30,inbound
TRIP_015,17,V-10,2026-06-16,2026-06-16T07:20:00+05:30,2026-06-16T08:25:00+05:30,inbound
TRIP_016,21,V-08,2026-06-16,2026-06-16T07:00:00+05:30,2026-06-16T07:40:00+05:30,inbound
TRIP_017,14,V-04,2026-06-16,2026-06-16T07:30:00+05:30,2026-06-16T08:45:00+05:30,inbound
TRIP_018,14,V-05,2026-06-16,2026-06-16T09:00:00+05:30,2026-06-16T10:15:00+05:30,inbound
TRIP_019,17,V-11,2026-06-16,2026-06-16T08:30:00+05:30,2026-06-16T09:35:00+05:30,inbound
TRIP_020,9,V-01,2026-06-17,2026-06-17T06:45:00+05:30,2026-06-17T07:40:00+05:30,inbound
TRIP_021,11,V-07,2026-06-17,2026-06-17T06:50:00+05:30,2026-06-17T08:00:00+05:30,inbound
TRIP_022,12,V-03,2026-06-17,2026-06-17T07:05:00+05:30,2026-06-17T08:05:00+05:30,inbound
TRIP_023,17,V-09,2026-06-17,2026-06-17T07:55:00+05:30,2026-06-17T09:00:00+05:30,inbound
TRIP_024,21,V-08,2026-06-17,2026-06-17T07:00:00+05:30,2026-06-17T07:40:00+05:30,inbound
TRIP_025,14,V-05,2026-06-17,2026-06-17T09:00:00+05:30,2026-06-17T10:15:00+05:30,inbound
TRIP_026,21,V-12,2026-06-17,2026-06-17T08:45:00+05:30,2026-06-17T09:25:00+05:30,inbound
